IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY,WEIGHTED_AVERAGE_SCORE
AA,MRL,3.1,8.4,5.6,Metals and Mining - Non-Precious Metals,5.6
BB,TOCALO,3.5,4.7,5.0,Industrial Machinery,4.4
AA,Pilbara Minerals,2.9,7.9,6.2,Metals and Mining - Non-Precious Metals,5.5
BBB,NORITZ,6.4,3.8,5.7,Building Products,5.3
A,Berjaya Sports,6.7,4.6,6.4,Casinos & Gaming,5.6
A,Skycity,5.7,7.2,4.2,Casinos & Gaming,5.7
BB,OKUMA,4.5,3.9,3.9,Industrial Machinery,4.1
BBB,SHIBAURA MACHINE,4.7,5.2,6.3,Industrial Machinery,5.3
A,Asustek,4.7,3.6,6.1,"Technology Hardware, Storage & Peripherals",4.9
BBB,PCT,5.7,6.7,5.2,Real Estate Management & Services,5.9
BB,China Shenhua,3.0,4.4,3.8,Metals and Mining - Non-Precious Metals,3.7
CCC,PT Gudang Garam,1.3,2.3,0.4,Tobacco,1.3
BB,Tokai Tokyo,2.3,6.6,2.2,Investment Banking & Brokerage,3.8
AA,Webjet,8.0,8.0,4.5,Hotels & Travel,6.2
A,Western Areas,2.4,7.3,5.4,Metals and Mining - Non-Precious Metals,4.9
A,GMT,5.8,6.4,5.1,Real Estate Management & Services,5.9
B,Goldcrest,2.5,4.0,4.0,Real Estate Development & Diversified Activities,3.6
B,Tokai Rika,4.6,1.9,3.2,Auto Components,2.9
AA,Cathay FHC,10.0,5.0,6.0,Life & Health Insurance,5.8
A,China Airlines,3.5,2.7,5.6,Airlines,4.2
BBB,Chiba Bank,4.2,4.4,4.6,Banks,4.5
BBB,CITIC Securities,5.6,5.2,4.0,Investment Banking & Brokerage,4.6
B,Changan Auto,6.0,0.0,3.9,Automobiles,3.3
BBB,COMSYS Holdings Corporation (COMSYS),5.9,4.6,5.0,Construction & Engineering,4.9
B,Koa,2.3,3.6,4.1,"Electronic Equipment, Instruments & Components",3.7
AAA,Computershare,10.0,7.8,5.2,Software & Services,6.5
BB,Starts,3.4,3.7,7.2,Real Estate Management & Services,5.3
BB,Dongkuk Steel,3.5,3.9,1.1,Steel,3.0
A,DB Insurance,4.9,5.1,5.2,Property & Casualty Insurance,5.1
AA,Delta Thailand,4.8,5.1,5.3,"Electronic Equipment, Instruments & Components",5.2
BBB,MHCC,10.0,4.8,3.7,Diversified Financials,4.6
AA,Delta,7.3,4.8,5.8,"Electronic Equipment, Instruments & Components",5.6
BBB,Asahi Intecc,6.7,5.7,6.1,Health Care Equipment & Supplies,5.9
CCC,DSME,4.4,2.9,2.9,Construction & Farm Machinery & Heavy Trucks,3.3
BBB,PT Matahari,2.9,5.4,4.5,Retail - Consumer Discretionary,4.5
AA,Emeco,2.5,7.5,7.7,Trading Companies & Distributors,6.4
BB,NYPCB,2.3,3.3,5.2,"Electronic Equipment, Instruments & Components",4.1
A,UNITED ARROWS,2.5,5.3,5.4,Retail - Consumer Discretionary,4.9
BBB,Far Eastern New Century Corporation (FENC,2.8,3.4,6.5,Industrial Conglomerates,4.2
CCC,FAW Jiefang Group,4.8,1.8,2.5,Automobiles,3.0
AAA,Keppel,5.9,6.4,6.6,Industrial Conglomerates,6.4
B,Hanatour,5.3,3.0,3.3,Hotels & Travel,3.3
BBB,ENN-NG,8.2,4.3,6.5,Utilities,5.8
BB,Shanghai Bailian Group,2.0,4.4,4.7,Retail - Food & Staples,4.2
B,SHANGHAI DIESEL ENGINE,2.8,2.3,5.5,Construction & Farm Machinery & Heavy Trucks,3.5
B,Highwealth,3.3,4.3,2.5,Real Estate Development & Diversified Activities,3.4
CCC,Sanan Optoelectronics,5.1,3.5,2.7,Semiconductors & Semiconductor Equipment,3.8
BB,AVIC Industry-Finance Holdings,4.4,2.7,5.0,Diversified Financials,4.0
CCC,Ningbo Shanshan,2.9,3.1,0.0,Specialty Chemicals,2.6
BB,THDB,5.8,2.5,3.3,Pharmaceuticals,3.2
BB,PT Summarecon,3.2,3.4,3.2,Real Estate Development & Diversified Activities,3.3
BBB,Hyundai Elevator,5.5,4.7,3.9,Industrial Machinery,4.8
BBB,Roland,0.0,5.7,5.2,Leisure Products,4.7
A,Shin-Etsu Polymer,5.6,4.2,3.2,Commodity Chemicals,4.9
B,Inabata,5.4,5.2,4.8,Trading Companies & Distributors,5.2
A,San-Ai Oil,5.3,4.3,7.8,"Oil & Gas Refining, Marketing, Transportation & Storage",5.5
B,Insun ENT,3.5,1.6,4.0,Commercial Services & Supplies,2.9
BBB,Japan Real Estate Investment,7.2,5.2,5.5,Real Estate Management & Services,5.9
BB,Kanamoto,3.8,3.7,5.6,Trading Companies & Distributors,4.2
BBB,KTB,0.7,4.2,5.3,Banks,4.3
BBB,Komeri,4.5,4.8,4.9,Retail - Consumer Discretionary,4.8
CCC,KOREA CIRCUIT,2.0,0.5,2.8,"Electronic Equipment, Instruments & Components",1.7
CCC,KPIC,2.4,2.7,0.0,Commodity Chemicals,2.2
BB,Keiyo,3.0,2.7,5.3,Retail - Consumer Discretionary,4.0
BB,Morinaga,2.4,5.9,5.8,Food Products,4.4
BBB,Misumi,3.9,5.7,5.2,Industrial Machinery,5.0
A,Nitori,4.4,4.8,5.8,Retail - Consumer Discretionary,5.2
CCC,Vista Land & Lifescapes,3.5,0.7,2.7,Real Estate Development & Diversified Activities,2.1
A,Maxvalu,2.8,2.6,6.5,Retail - Food & Staples,4.6
A,Hub24,7.0,8.0,2.5,Investment Banking & Brokerage,4.9
B,CMG Pharmaceutical,1.8,2.6,2.6,Pharmaceuticals,2.6
CCC,Eugene Technology,3.0,2.0,5.9,Semiconductors & Semiconductor Equipment,3.4
CCC,Helixmith,1.8,2.3,2.1,Biotechnology,2.1
CCC,Bioneer,1.2,2.2,2.9,Biotechnology,2.5
CCC,NEOWIZ,6.7,1.8,3.6,Media & Entertainment,3.0
A,Ricoh Leasing,10.0,4.6,5.4,Diversified Financials,5.3
BB,Proto,2.5,3.8,4.8,Media & Entertainment,4.2
B,Arcs,1.4,2.3,5.1,Retail - Food & Staples,3.6
AA,SCG,5.8,3.5,7.3,Construction Materials,5.4
BBB,PI Industries,4.5,6.8,2.1,Specialty Chemicals,5.0
AA,BAT-M,7.2,6.0,3.9,Tobacco,5.2
A,Sundaram Finance,7.0,4.8,4.9,Consumer Finance,5.0
BB,Vedanta Limited,2.6,3.8,4.9,Metals and Mining - Non-Precious Metals,3.6
B,Tata Motors,4.1,3.9,3.0,Automobiles,3.6
BBB,Torrent,3.8,4.9,3.2,Pharmaceuticals,3.8
A,Tech Mahindra,6.7,6.2,4.1,Software & Services,5.3
AA,Hong Seng,6.3,6.8,5.2,Health Care Providers & Services,5.8
BB,Aisino,4.8,4.0,3.1,Software & Services,3.7
BBB,Fuji Kyuko,4.5,4.1,4.7,Hotels & Travel,4.4
B,Shanghai Construction Group Co.,3.5,2.6,3.4,Construction & Engineering,3.0
AA,Minor,6.1,4.8,5.8,Hotels & Travel,5.5
BBB,STECON,3.8,4.4,4.3,Construction & Engineering,4.3
A,Sumitomo Forestry,5.7,4.6,6.3,Real Estate Development & Diversified Activities,5.5
A,SNK,6.2,4.0,8.1,Building Products,5.9
BB,YTL Power,3.4,4.8,5.1,Utilities,4.1
BBB,Trusco,3.3,4.9,7.1,Trading Companies & Distributors,5.4
AA,BTS Group,5.7,2.9,7.9,Road & Rail Transport,5.6
CCC,Shanxi Coking Coal,1.2,0.5,1.2,Metals and Mining - Non-Precious Metals,0.9
AA,SK Telecom,10.0,3.7,7.4,Telecommunication Services,6.1
BBB,Nan Ya Plastics,5.7,1.0,4.8,Commodity Chemicals,4.1
BBB,Mie Kotsu Group,3.9,3.8,5.1,Industrial Conglomerates,4.4
BB,Techmatrix,5.8,4.8,3.7,Software & Services,4.5
CCC,FCFC,3.8,1.5,1.7,Commodity Chemicals,2.8
B,Arcland Service,1.4,4.2,3.8,Restaurants,3.5
BBB,AGL Energy,3.1,8.0,5.3,Utilities,5.0
AA,Australian Ethical Investment,9.0,7.0,4.8,Asset Management & Custody Banks,5.9
CCC,Unid,2.1,0.0,1.3,Commodity Chemicals,1.3
CCC,Yunnan Aluminium,1.4,1.7,3.1,Metals and Mining - Non-Precious Metals,1.9
B,Shanxi Taigang Stainless Steel,4.8,1.7,3.1,Steel,3.4
BB,Boryung,4.4,3.5,3.4,Pharmaceuticals,3.5
B,LOTTE Fine Chemical,4.3,5.2,3.3,Diversified Chemicals,4.5
B,New Hope Liuhe,3.6,2.9,2.3,Food Products,3.0
CCC,Jizhong Energy,1.8,1.9,1.0,Metals and Mining - Non-Precious Metals,1.6
B,Huagong Tech,4.2,4.2,2.8,"Electronic Equipment, Instruments & Components",3.6
CCC,NICE Holdings,5.6,3.9,2.6,Diversified Financials,3.5
BB,Bohai Leasing,5.3,5.8,3.9,Trading Companies & Distributors,5.1
BB,Daan Gene,3.1,4.7,4.2,Biotechnology,4.3
BBB,CJ Logistics,7.9,4.3,0.4,Air Freight & Logistics,3.8
BB,CECEP Solar Energy,8.9,1.8,1.6,Utilities,4.3
CCC,IMDTECL,1.8,0.8,2.1,Metals and Mining - Non-Precious Metals,1.5
B,Sunlord Electronics,2.4,4.9,3.2,"Electronic Equipment, Instruments & Components",3.8
CCC,CNNC Hua Yuan,2.3,2.7,0.3,Commodity Chemicals,2.2
BBB,Beijing Shiji,3.9,4.6,5.1,Software & Services,4.7
CCC,DI DONG IL,2.5,2.8,1.3,"Textiles, Apparel & Luxury Goods",2.2
CCC,Shanxi Meijin Energy,1.9,3.7,1.9,Steel,2.5
CCC,Miwon Commercial,1.8,1.7,0.1,Specialty Chemicals,1.5
AA,Honda,8.4,7.0,1.8,Automobiles,5.5
BBB,Air China,6.1,3.4,4.3,Airlines,4.4
BB,OSG,4.1,6.6,5.2,Industrial Machinery,5.5
B,Nikkiso,4.1,4.8,3.3,Industrial Machinery,4.1
B,Minmetals Land,4.4,1.8,2.8,Real Estate Development & Diversified Activities,2.9
BBB,Macronix,5.8,3.0,6.6,Semiconductors & Semiconductor Equipment,5.1
BBB,Accton Technology,3.1,4.7,5.3,"Technology Hardware, Storage & Peripherals",4.7
BB,Bayer Cropscience,4.2,4.1,3.3,Specialty Chemicals,4.1
A,Axis Bank,5.2,6.4,4.7,Banks,5.3
CCC,Atul,2.5,5.7,3.1,Diversified Chemicals,3.6
BBB,Blue Dart,8.3,4.5,3.6,Air Freight & Logistics,5.0
A,CHOLAMANDALAM INVESTMENT AND FINANCE,7.0,4.4,5.1,Consumer Finance,5.0
BB,BCIA,9.3,1.3,4.7,Transportation Infrastructure,4.1
BBB,Tencent,10.0,3.4,4.3,Interactive Media & Services,4.3
BBB,Shenzhen Investment,5.0,4.4,5.8,Real Estate Development & Diversified Activities,5.0
AA,Mangoo,7.37,3.91,5.43,Utilities,5.0617740900740475
AAA,haloworld,6.53,8.38,4.62,Utilities,5.939965547710638
