IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY,WEIGHTED_AVERAGE_SCORE
BB,Okinawa,6.5,2.8,6.0,Telecommunication Services,4.8
B,Dong-E-E-Jiao,3.8,2.2,2.6,Pharmaceuticals,2.6
BB,Jababeka,3.4,3.3,1.7,Real Estate Development & Diversified Activities,3.0
BB,We re-initiate coverage of Shengyi Technology at 'BB'. In 2022,2.9,3.8,4.3,Commodity Chemicals,3.4
BB,Daewoo,3.8,3.7,2.5,Construction & Engineering,3.4
A,Mirae Asset Securities,7.5,2.8,6.1,Investment Banking & Brokerage,5.1
CCC,EASTCOM,1.9,3.3,1.7,"Technology Hardware, Storage & Peripherals",2.4
A,Hap Seng,3.2,4.7,6.4,Industrial Conglomerates,5.0
BBB,Belc,1.6,5.4,5.3,Retail - Food & Staples,4.8
B,Ekovest,3.9,4.1,3.8,Construction & Engineering,4.0
CCC,KMW,3.7,0.3,2.8,"Technology Hardware, Storage & Peripherals",1.9
BB,Fuji Seal International,4.6,5.6,4.2,Containers & Packaging,4.8
CCC,FINE SEMITECH,2.6,1.4,4.5,Semiconductors & Semiconductor Equipment,2.5
BB,Filinvest,4.6,3.1,5.3,Real Estate Development & Diversified Activities,4.3
BBB,Haier Smart Home,5.2,5.6,3.4,Household Durables,4.7
A,Industrial Bank,6.7,5.4,4.4,Banks,5.0
B,Shede,2.7,5.0,1.4,Beverages,3.2
CCC,Greenland Holdings,4.5,1.8,1.7,Real Estate Development & Diversified Activities,2.5
BBB,Lotte Chemical,5.0,3.3,3.2,Commodity Chemicals,4.2
BBB,Hansen Technologies,4.9,5.2,4.2,Software & Services,4.7
AA,Breville Group,2.2,6.2,4.6,Household Durables,5.1
AA,IAG,6.1,6.9,4.6,Property & Casualty Insurance,5.6
B,Inner Mongolia ERDOS,2.2,2.7,4.2,Metals and Mining - Non-Precious Metals,2.9
BBB,LG Chem,6.3,1.1,2.3,Commodity Chemicals,4.2
BB,Kinden,6.3,3.2,3.7,Construction & Engineering,3.9
BBB,Kiatnakin,2.9,5.2,4.6,Banks,4.6
AA,Santos,3.8,7.5,5.3,Oil & Gas Exploration & Production,5.4
AA,King Slide,3.5,7.4,3.6,"Technology Hardware, Storage & Peripherals",5.5
B,Komipharm,2.6,2.3,2.5,Pharmaceuticals,2.4
A,EXEO,5.7,5.4,5.2,Construction & Engineering,5.4
B,Kisoji,1.4,4.5,3.8,Restaurants,3.6
A,KT,9.6,5.7,5.6,Telecommunication Services,5.8
BBB,Life,1.7,3.7,6.3,Retail - Food & Staples,4.8
BB,The Keiyo Bank,3.3,4.1,4.0,Banks,4.0
A,M&M,5.6,5.6,3.8,Automobiles,5.0
BBB,CJ ENM,9.3,3.5,5.8,Media & Entertainment,4.9
B,Manila Water,5.7,2.0,3.7,Utilities,4.0
BBB,MSUC,4.8,2.8,5.6,Road & Rail Transport,4.3
CCC,Jcontentree,6.7,0.0,3.8,Media & Entertainment,2.1
BBB,Nippon Koei,4.8,4.1,7.1,Construction & Engineering,5.0
BB,Nippon Suisan,3.3,4.9,5.3,Food Products,4.4
B,Com2uS,6.7,1.8,4.7,Media & Entertainment,3.5
BBB,SIAEC,5.1,3.8,7.1,Transportation Infrastructure,5.0
A,Singapore Airlines,4.2,3.3,5.9,Airlines,4.7
CCC,Wonik QnC,2.8,0.6,2.4,Semiconductors & Semiconductor Equipment,1.5
CCC,TES,2.8,1.4,4.7,Semiconductors & Semiconductor Equipment,2.6
BB,Robinsons Land,4.3,2.2,5.3,Real Estate Development & Diversified Activities,3.8
AA,QBE,4.5,7.9,3.8,Property & Casualty Insurance,5.3
B,RATCH,3.6,2.2,7.8,Utilities,3.7
BB,Power Finance,0.0,3.9,4.4,Diversified Financials,3.5
A,Cowell e Holdings,1.2,6.5,4.5,"Electronic Equipment, Instruments & Components",4.9
