IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY
BBB,Roland,0.0,5.7,5.2,Leisure Products
A,Shin-Etsu Polymer,5.6,4.2,3.2,Commodity Chemicals
B,Inabata,5.4,5.2,4.8,Trading Companies & Distributors
A,San-Ai Oil,5.3,4.3,7.8,"Oil & Gas Refining, Marketing, Transportation & Storage"
B,Insun ENT,3.5,1.6,4.0,Commercial Services & Supplies
BBB,Japan Real Estate Investment,7.2,5.2,5.5,Real Estate Management & Services
BB,Kanamoto,3.8,3.7,5.6,Trading Companies & Distributors
BBB,KTB,0.7,4.2,5.3,Banks
BBB,Komeri,4.5,4.8,4.9,Retail - Consumer Discretionary
CCC,KOREA CIRCUIT,2.0,0.5,2.8,"Electronic Equipment, Instruments & Components"
CCC,KPIC,2.4,2.7,0.0,Commodity Chemicals
BB,Keiyo,3.0,2.7,5.3,Retail - Consumer Discretionary
BB,Morinaga,2.4,5.9,5.8,Food Products
BBB,Misumi,3.9,5.7,5.2,Industrial Machinery
A,Nitori,4.4,4.8,5.8,Retail - Consumer Discretionary
CCC,Vista Land & Lifescapes,3.5,0.7,2.7,Real Estate Development & Diversified Activities
A,Maxvalu,2.8,2.6,6.5,Retail - Food & Staples
A,Hub24,7.0,8.0,2.5,Investment Banking & Brokerage
B,CMG Pharmaceutical,1.8,2.6,2.6,Pharmaceuticals
CCC,Eugene Technology,3.0,2.0,5.9,Semiconductors & Semiconductor Equipment
CCC,Helixmith,1.8,2.3,2.1,Biotechnology
CCC,Bioneer,1.2,2.2,2.9,Biotechnology
CCC,NEOWIZ,6.7,1.8,3.6,Media & Entertainment
A,Ricoh Leasing,10.0,4.6,5.4,Diversified Financials
BB,Proto,2.5,3.8,4.8,Media & Entertainment
B,Arcs,1.4,2.3,5.1,Retail - Food & Staples
AA,SCG,5.8,3.5,7.3,Construction Materials
BBB,PI Industries,4.5,6.8,2.1,Specialty Chemicals
AA,BAT-M,7.2,6.0,3.9,Tobacco
A,Sundaram Finance,7.0,4.8,4.9,Consumer Finance
BB,Vedanta Limited,2.6,3.8,4.9,Metals and Mining - Non-Precious Metals
B,Tata Motors,4.1,3.9,3.0,Automobiles
BBB,Torrent,3.8,4.9,3.2,Pharmaceuticals
A,Tech Mahindra,6.7,6.2,4.1,Software & Services
AA,Hong Seng,6.3,6.8,5.2,Health Care Providers & Services
BB,Aisino,4.8,4.0,3.1,Software & Services
BBB,Fuji Kyuko,4.5,4.1,4.7,Hotels & Travel
B,Shanghai Construction Group Co.,3.5,2.6,3.4,Construction & Engineering
AA,Minor,6.1,4.8,5.8,Hotels & Travel
BBB,STECON,3.8,4.4,4.3,Construction & Engineering
A,Sumitomo Forestry,5.7,4.6,6.3,Real Estate Development & Diversified Activities
A,SNK,6.2,4.0,8.1,Building Products
BB,YTL Power,3.4,4.8,5.1,Utilities
BBB,Trusco,3.3,4.9,7.1,Trading Companies & Distributors
AA,BTS Group,5.7,2.9,7.9,Road & Rail Transport
CCC,Shanxi Coking Coal,1.2,0.5,1.2,Metals and Mining - Non-Precious Metals
AA,SK Telecom,10.0,3.7,7.4,Telecommunication Services
BBB,Nan Ya Plastics,5.7,1.0,4.8,Commodity Chemicals
BBB,Mie Kotsu Group,3.9,3.8,5.1,Industrial Conglomerates
BB,Techmatrix,5.8,4.8,3.7,Software & Services
CCC,FCFC,3.8,1.5,1.7,Commodity Chemicals
B,Arcland Service,1.4,4.2,3.8,Restaurants
BBB,AGL Energy,3.1,8.0,5.3,Utilities
AA,Australian Ethical Investment,9.0,7.0,4.8,Asset Management & Custody Banks
CCC,Unid,2.1,0.0,1.3,Commodity Chemicals
CCC,Yunnan Aluminium,1.4,1.7,3.1,Metals and Mining - Non-Precious Metals
B,Shanxi Taigang Stainless Steel,4.8,1.7,3.1,Steel
BB,Boryung,4.4,3.5,3.4,Pharmaceuticals
B,LOTTE Fine Chemical,4.3,5.2,3.3,Diversified Chemicals
B,New Hope Liuhe,3.6,2.9,2.3,Food Products
CCC,Jizhong Energy,1.8,1.9,1.0,Metals and Mining - Non-Precious Metals
B,Huagong Tech,4.2,4.2,2.8,"Electronic Equipment, Instruments & Components"
CCC,NICE Holdings,5.6,3.9,2.6,Diversified Financials
BB,Bohai Leasing,5.3,5.8,3.9,Trading Companies & Distributors
BB,Daan Gene,3.1,4.7,4.2,Biotechnology
BBB,CJ Logistics,7.9,4.3,0.4,Air Freight & Logistics
BB,CECEP Solar Energy,8.9,1.8,1.6,Utilities
CCC,IMDTECL,1.8,0.8,2.1,Metals and Mining - Non-Precious Metals
B,Sunlord Electronics,2.4,4.9,3.2,"Electronic Equipment, Instruments & Components"
CCC,CNNC Hua Yuan,2.3,2.7,0.3,Commodity Chemicals
BBB,Beijing Shiji,3.9,4.6,5.1,Software & Services
CCC,DI DONG IL,2.5,2.8,1.3,"Textiles, Apparel & Luxury Goods"
CCC,Shanxi Meijin Energy,1.9,3.7,1.9,Steel
CCC,Miwon Commercial,1.8,1.7,0.1,Specialty Chemicals
AA,Honda,8.4,7.0,1.8,Automobiles
BBB,Air China,6.1,3.4,4.3,Airlines
BB,OSG,4.1,6.6,5.2,Industrial Machinery
B,Nikkiso,4.1,4.8,3.3,Industrial Machinery
B,Minmetals Land,4.4,1.8,2.8,Real Estate Development & Diversified Activities
BBB,Macronix,5.8,3.0,6.6,Semiconductors & Semiconductor Equipment
BBB,Accton Technology,3.1,4.7,5.3,"Technology Hardware, Storage & Peripherals"
BB,Bayer Cropscience,4.2,4.1,3.3,Specialty Chemicals
A,Axis Bank,5.2,6.4,4.7,Banks
CCC,Atul,2.5,5.7,3.1,Diversified Chemicals
BBB,Blue Dart,8.3,4.5,3.6,Air Freight & Logistics
A,CHOLAMANDALAM INVESTMENT AND FINANCE,7.0,4.4,5.1,Consumer Finance
BB,BCIA,9.3,1.3,4.7,Transportation Infrastructure
BBB,Tencent,10.0,3.4,4.3,Interactive Media & Services
BBB,Shenzhen Investment,5.0,4.4,5.8,Real Estate Development & Diversified Activities
DKP,Casinos & Gaming,67,30,75
google,Utilities,5,6,7
