IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY
B,Ekovest,3.9,4.1,3.8,Construction & Engineering
CCC,KMW,3.7,0.3,2.8,"Technology Hardware, Storage & Peripherals"
BB,Fuji Seal International,4.6,5.6,4.2,Containers & Packaging
CCC,FINE SEMITECH,2.6,1.4,4.5,Semiconductors & Semiconductor Equipment
BB,Filinvest,4.6,3.1,5.3,Real Estate Development & Diversified Activities
BBB,Haier Smart Home,5.2,5.6,3.4,Household Durables
A,Industrial Bank,6.7,5.4,4.4,Banks
B,Shede,2.7,5.0,1.4,Beverages
CCC,Greenland Holdings,4.5,1.8,1.7,Real Estate Development & Diversified Activities
BBB,Lotte Chemical,5.0,3.3,3.2,Commodity Chemicals
BBB,Hansen Technologies,4.9,5.2,4.2,Software & Services
AA,Breville Group,2.2,6.2,4.6,Household Durables
AA,IAG,6.1,6.9,4.6,Property & Casualty Insurance
B,Inner Mongolia ERDOS,2.2,2.7,4.2,Metals and Mining - Non-Precious Metals
BBB,LG Chem,6.3,1.1,2.3,Commodity Chemicals
BB,Kinden,6.3,3.2,3.7,Construction & Engineering
BBB,Kiatnakin,2.9,5.2,4.6,Banks
AA,Santos,3.8,7.5,5.3,Oil & Gas Exploration & Production
AA,King Slide,3.5,7.4,3.6,"Technology Hardware, Storage & Peripherals"
B,Komipharm,2.6,2.3,2.5,Pharmaceuticals
A,EXEO,5.7,5.4,5.2,Construction & Engineering
B,Kisoji,1.4,4.5,3.8,Restaurants
A,KT,9.6,5.7,5.6,Telecommunication Services
BBB,Life,1.7,3.7,6.3,Retail - Food & Staples
BB,The Keiyo Bank,3.3,4.1,4.0,Banks
A,M&M,5.6,5.6,3.8,Automobiles
BBB,CJ ENM,9.3,3.5,5.8,Media & Entertainment
B,Manila Water,5.7,2.0,3.7,Utilities
BBB,MSUC,4.8,2.8,5.6,Road & Rail Transport
CCC,Jcontentree,6.7,0.0,3.8,Media & Entertainment
BBB,Nippon Koei,4.8,4.1,7.1,Construction & Engineering
BB,Nippon Suisan,3.3,4.9,5.3,Food Products
B,Com2uS,6.7,1.8,4.7,Media & Entertainment
BBB,SIAEC,5.1,3.8,7.1,Transportation Infrastructure
A,Singapore Airlines,4.2,3.3,5.9,Airlines
CCC,Wonik QnC,2.8,0.6,2.4,Semiconductors & Semiconductor Equipment
CCC,TES,2.8,1.4,4.7,Semiconductors & Semiconductor Equipment
BB,Robinsons Land,4.3,2.2,5.3,Real Estate Development & Diversified Activities
AA,QBE,4.5,7.9,3.8,Property & Casualty Insurance
B,RATCH,3.6,2.2,7.8,Utilities
BB,Power Finance,0.0,3.9,4.4,Diversified Financials
A,Cowell e Holdings,1.2,6.5,4.5,"Electronic Equipment, Instruments & Components"
A,Pasona Group,10.0,4.9,6.5,Professional Services
AAA,SingPost,9.3,5.5,4.4,Air Freight & Logistics
AA,Piramal Enterprises,9.7,3.9,6.2,Diversified Financials
BBB,Frontken,10.0,5.2,6.3,Commercial Services & Supplies
B,Shanghai Airport,5.7,2.0,4.5,Transportation Infrastructure
CCC,Zhejiang Juhua,2.5,1.9,0.4,Commodity Chemicals
CCC,SHANGHAI ELECTRIC POWER,2.5,2.6,2.1,Utilities
B,Sany Heavy Industry (Sany,3.7,2.4,5.1,Construction & Farm Machinery & Heavy Trucks
B,BTG Hotels,2.3,4.0,4.1,Hotels & Travel
B,SDIC Capital,3.3,3.9,2.3,Investment Banking & Brokerage
A,Yellow Hat,2.1,3.9,8.0,Retail - Consumer Discretionary
BB,Giken,3.1,3.9,5.6,Construction & Farm Machinery & Heavy Trucks
BB,Kotobuki Spirits,2.0,5.8,4.6,Food Products
BB,KATITAS,4.8,5.7,4.0,Real Estate Development & Diversified Activities
BB,SIUD,4.6,2.6,3.5,Real Estate Development & Diversified Activities
A,YAGEO,4.1,5.1,5.2,"Electronic Equipment, Instruments & Components"
CCC,Taekwang,1.5,3.8,0.0,Commodity Chemicals
CCC,GeneOne Life Science,4.7,1.7,3.5,Biotechnology
A,Coway,6.8,4.9,4.6,Household Durables
B,Country Garden,6.2,2.9,2.0,Real Estate Development & Diversified Activities
